case_id,case_type,difficulty,ai_correct
CASE000316,routine,-0.36,1
CASE000317,routine,-0.955,1
CASE000318,ambiguous,0.539,1
CASE000319,ambiguous,0.578,1
CASE000320,routine,-0.499,1
CASE000321,routine,0.095,1
CASE000322,routine,-0.162,1
CASE000323,routine,-0.459,1
CASE000324,routine,-0.482,1
CASE000325,ambiguous,0.09,1
CASE000326,routine,-0.472,0
CASE000327,routine,-0.033,1
CASE000328,routine,-0.538,1
CASE000329,routine,-0.363,1
CASE000330,routine,-0.397,1
CASE000331,routine,0.222,1
CASE000332,routine,-0.418,0
CASE000333,ambiguous,0.35,1
CASE000334,routine,-0.548,1
CASE000335,routine,0.045,1
CASE000336,atypical,0.573,1
CASE000337,routine,-0.38,1
CASE000338,routine,0.088,1
CASE000339,routine,0.466,1
CASE000340,routine,-0.297,1
CASE000341,routine,-0.582,1
CASE000342,ambiguous,-0.448,1
CASE000343,routine,-0.465,1
CASE000344,routine,-0.434,1
CASE000345,routine,-0.51,1
CASE000346,routine,-0.796,1
CASE000347,routine,-0.989,1
CASE000348,ambiguous,-0.042,1
CASE000349,atypical,1.481,0
CASE000350,routine,-0.706,1
CASE000351,ambiguous,0.568,1
CASE000352,routine,-0.645,1
CASE000353,ambiguous,0.335,1
CASE000354,routine,-0.951,1
CASE000355,routine,0.314,1
CASE000356,routine,-0.912,1
CASE000357,ambiguous,0.668,1
CASE000358,routine,-0.403,1
CASE000359,routine,-0.933,1
CASE000360,routine,0.063,1
CASE000361,routine,-0.896,1
CASE000362,routine,-0.2,1
CASE000363,routine,-0.149,1
CASE000364,ambiguous,1.232,1
CASE000365,routine,-0.506,1
CASE000366,ambiguous,0.716,0
CASE000367,routine,-0.539,1
CASE000368,atypical,1.334,0
CASE000369,routine,-0.675,1
CASE000370,routine,0.119,1
CASE000371,routine,-0.231,1
CASE000372,atypical,1.21,1
CASE000373,atypical,1.423,0
CASE000374,routine,-0.356,1
CASE000375,routine,-0.394,1
CASE000376,routine,-0.849,1
CASE000377,routine,-0.609,1
CASE000378,routine,-0.507,1
CASE000379,routine,-1.425,1
CASE000380,routine,0.147,1
CASE000381,ambiguous,0.247,1
CASE000382,routine,-0.755,1
CASE000383,routine,0.067,1
CASE000384,routine,-0.255,1
CASE000385,routine,-1.245,1
CASE000386,routine,-0.829,1
CASE000387,ambiguous,0.783,1
CASE000388,routine,-0.175,1
CASE000389,ambiguous,-0.031,1
CASE000390,ambiguous,0.938,1
CASE000391,ambiguous,0.232,1
CASE000392,routine,-0.799,1
CASE000393,routine,0.037,1
CASE000394,ambiguous,0.753,0
CASE000395,ambiguous,1.191,1
CASE000396,routine,-0.31,1
CASE000397,ambiguous,1.119,1
CASE000398,routine,0.022,1
CASE000399,routine,-0.503,1
CASE000400,routine,-0.441,1
CASE000401,routine,-0.098,1
CASE000402,routine,-0.153,1
CASE000403,ambiguous,0.465,1
CASE000404,routine,-0.321,1
CASE000405,routine,-0.729,1
CASE000406,ambiguous,0.674,1
CASE000407,routine,0.08,1
CASE000408,routine,-0.684,1
CASE000409,routine,-0.142,1
CASE000410,routine,-0.022,1
CASE000411,routine,-0.561,1
CASE000412,routine,-0.417,1
CASE000413,ambiguous,0.209,1
CASE000414,ambiguous,0.713,1
CASE000415,atypical,1.074,0
CASE000416,atypical,1.322,1
CASE000417,ambiguous,0.468,1
CASE000418,routine,-1.195,1
CASE000419,ambiguous,0.687,0
CASE000420,routine,-0.478,1
CASE000421,routine,-0.41,1
CASE000422,routine,0.056,1
CASE000423,routine,-1.191,1
CASE000424,routine,0.158,1
CASE000425,atypical,1.325,0
CASE000426,routine,-0.98,1
CASE000427,routine,-0.668,1
CASE000428,routine,-0.437,1
CASE000429,routine,-0.286,1
CASE000430,routine,-0.218,1
CASE000431,routine,-0.594,1
CASE000432,ambiguous,0.38,1
CASE000433,routine,-0.949,1
CASE000434,routine,-0.577,1
CASE000435,routine,-0.091,1
CASE000436,routine,0.927,1
CASE000437,routine,-0.67,1
CASE000438,routine,-0.966,1
CASE000439,routine,0.09,1
CASE000440,routine,0.133,1
CASE000441,routine,0.116,1
CASE000442,routine,-0.483,1
CASE000443,routine,-0.959,1
CASE000444,routine,-0.148,1
CASE000445,ambiguous,0.886,1
CASE000446,routine,-0.373,1
CASE000447,routine,-0.499,1
CASE000448,ambiguous,0.249,1
CASE000449,routine,-0.815,1
CASE000450,routine,-0.451,1
CASE000451,atypical,2.12,0
CASE000452,routine,0.328,1
CASE000453,routine,0.175,1
CASE000454,ambiguous,0.538,1
CASE000455,ambiguous,0.82,1
CASE000456,routine,-0.741,1
CASE000457,routine,0.017,1
CASE000458,ambiguous,0.37,1
CASE000459,routine,-0.79,1
CASE000460,atypical,1.086,0
CASE000461,atypical,1.617,1
CASE000462,ambiguous,0.827,1
CASE000463,routine,-0.405,1
CASE000464,routine,-0.249,1
CASE000465,atypical,1.218,1
CASE000466,routine,-0.161,1
CASE000467,routine,-0.135,1
CASE000468,ambiguous,0.997,1
CASE000469,routine,-0.338,1
CASE000470,routine,-0.567,1
CASE000471,routine,-0.866,1
CASE000472,routine,0.077,1
CASE000473,atypical,1.128,1
CASE000474,routine,-0.44,1
CASE000475,atypical,1.911,1
CASE000476,routine,-0.886,1
CASE000477,routine,-0.723,1
CASE000478,atypical,0.662,1
CASE000479,routine,-0.947,1
CASE000480,routine,-0.178,1
CASE000481,routine,-0.495,1
CASE000482,routine,-0.45,1
CASE000483,routine,-0.711,1
CASE000484,routine,-0.413,1
CASE000485,routine,-0.615,1
CASE000486,routine,-0.512,1
CASE000487,routine,-0.165,1
CASE000488,routine,-0.049,1
CASE000489,routine,-0.439,1
CASE000490,ambiguous,0.154,1
CASE000491,ambiguous,0.539,1
CASE000492,routine,-0.218,1
CASE000493,ambiguous,0.225,1
CASE000494,routine,-0.655,1
CASE000495,routine,0.247,1
CASE000496,routine,-0.58,1
CASE000497,ambiguous,0.639,1
CASE000498,atypical,1.124,1
CASE000499,ambiguous,1.061,1
CASE000500,atypical,0.726,1
CASE000501,routine,-0.018,1
CASE000502,routine,-0.686,1
CASE000503,routine,-0.911,0
CASE000504,routine,-0.75,1
CASE000505,routine,-0.565,1
CASE000506,ambiguous,0.852,1
CASE000507,routine,-0.598,1
CASE000508,ambiguous,-0.197,1
CASE000509,ambiguous,0.648,1
CASE000510,routine,0.119,1
CASE000511,ambiguous,1.155,1
CASE000512,ambiguous,0.576,0
CASE000513,ambiguous,0.739,1
CASE000514,routine,-0.545,1
CASE000515,atypical,1.18,0
CASE000516,routine,-0.728,1
CASE000517,routine,-0.464,1
CASE000518,ambiguous,-0.237,1
CASE000519,ambiguous,0.192,1
CASE000520,routine,-0.144,1
CASE000521,routine,-0.152,1
CASE000522,routine,-0.704,1
CASE000523,routine,-0.302,1
CASE000524,routine,-0.062,1
CASE000525,routine,-1.022,1
CASE000526,routine,-0.166,1
CASE000527,routine,-0.379,1
CASE000528,routine,-0.642,1
CASE000529,routine,-0.5,1
CASE000530,atypical,1.638,1
CASE000531,routine,-0.295,1
CASE000532,routine,-0.78,1
CASE000533,routine,-0.118,1
CASE000534,ambiguous,0.679,0
CASE000535,atypical,1.506,0
CASE000536,routine,-0.495,1
CASE000537,routine,-0.663,1
CASE000538,routine,-0.82,1
CASE000539,routine,-0.426,1
CASE000540,routine,-0.269,0
CASE000541,routine,-0.469,1
CASE000542,routine,-0.021,1
CASE000543,routine,-0.402,1
CASE000544,ambiguous,0.778,1
CASE000545,routine,-0.835,1
CASE000546,routine,-0.721,1
CASE000547,routine,0.063,1
CASE000548,routine,-0.206,1
CASE000549,atypical,0.854,0
CASE000550,routine,-0.663,1
CASE000551,atypical,1.247,1
CASE000552,routine,-0.43,1
CASE000553,ambiguous,0.167,1
CASE000554,routine,-0.646,1
CASE000555,routine,-0.145,1
CASE000556,routine,0.012,1
CASE000557,routine,0.028,1
CASE000558,routine,-0.669,1
CASE000559,ambiguous,0.561,1
CASE000560,routine,-0.577,1
CASE000561,ambiguous,1.341,1
CASE000562,routine,-0.583,1
CASE000563,ambiguous,0.621,1
CASE000564,routine,-0.104,1
CASE000565,routine,-0.196,1
CASE000566,routine,-0.464,1
CASE000567,routine,-0.84,1
CASE000568,ambiguous,0.452,1
CASE000569,ambiguous,0.463,1
CASE000570,routine,-0.118,1
CASE000571,atypical,1.197,0
CASE000572,routine,0.205,1
CASE000573,routine,-0.812,1
CASE000574,routine,-0.651,1
CASE000575,routine,-0.254,1
CASE000576,ambiguous,0.541,0
CASE000577,routine,-0.379,1
CASE000578,routine,-0.214,1
CASE000579,routine,0.208,1
CASE000580,routine,-0.891,0
CASE000581,routine,-0.586,1
CASE000582,routine,-0.42,1
CASE000583,routine,-0.505,0
CASE000584,routine,-0.638,1
CASE000585,ambiguous,0.133,1
CASE000586,routine,-0.13,1
CASE000587,routine,0.336,1
CASE000588,routine,-0.731,1
CASE000589,atypical,1.468,1
CASE000590,routine,0.114,1
CASE000591,routine,-0.553,1
CASE000592,routine,-0.361,1
CASE000593,atypical,1.29,0
CASE000594,ambiguous,0.062,1
CASE000595,ambiguous,0.84,1
CASE000596,routine,-0.263,1
CASE000597,routine,-0.361,1
CASE000598,routine,-0.764,1
CASE000599,routine,0.171,1
CASE000600,ambiguous,0.765,1
CASE000601,routine,-0.341,1
CASE000602,routine,-0.648,1
CASE000603,routine,-0.031,1
CASE000604,ambiguous,0.657,1
CASE000605,ambiguous,0.184,1
CASE000606,routine,-0.585,1
CASE000607,routine,-0.135,1
CASE000608,routine,-0.075,1
CASE000609,routine,-0.736,1
CASE000610,routine,-0.305,1
CASE000611,ambiguous,0.42,1
CASE000612,routine,-0.262,1
CASE000613,routine,-0.529,1
CASE000614,routine,-0.232,1
CASE000615,routine,-0.021,1
CASE000616,routine,-0.298,1
CASE000617,routine,-0.521,1
CASE000618,routine,-0.137,1
CASE000619,routine,-0.176,1
CASE000620,ambiguous,0.354,1
CASE000621,routine,-0.342,1
CASE000622,routine,-0.478,1
CASE000623,routine,-0.499,1
CASE000624,routine,-0.398,1
CASE000625,routine,-0.414,1
CASE000626,routine,-0.932,1
CASE000627,routine,-0.664,1
CASE000628,routine,-0.842,1
CASE000629,ambiguous,0.74,1
CASE000630,routine,-0.782,1
CASE000631,routine,0.451,1
CASE000632,routine,-0.165,1
CASE000633,ambiguous,-0.128,1
CASE000634,routine,-0.188,1
CASE000635,routine,-0.015,1
CASE000636,routine,-0.539,1
CASE000637,ambiguous,0.289,1
CASE000638,routine,-0.115,1
CASE000639,routine,-0.645,1
CASE000640,ambiguous,0.615,0
CASE000641,routine,-0.456,1
CASE000642,routine,-0.788,1
CASE000643,routine,-0.377,1
CASE000644,routine,-0.966,1
CASE000645,ambiguous,0.548,1
CASE000646,routine,-0.649,1
CASE000647,routine,-0.432,1
CASE000648,ambiguous,0.737,1
CASE000649,routine,-0.414,1
CASE000650,routine,-0.397,1
CASE000651,routine,-0.844,1
CASE000652,ambiguous,0.789,0
CASE000653,atypical,1.472,1
CASE000654,ambiguous,0.066,1
CASE000655,routine,-0.451,1
CASE000656,routine,-0.355,1
CASE000657,routine,0.125,1
CASE000658,routine,-0.02,1
CASE000659,ambiguous,0.3,1
CASE000660,atypical,1.547,0
CASE000661,routine,-0.408,1
CASE000662,routine,-0.736,1
CASE000663,routine,-0.229,1
CASE000664,ambiguous,0.705,1
CASE000665,atypical,1.438,0
CASE000666,routine,-0.267,1
CASE000667,routine,-0.502,1
CASE000668,routine,-0.285,1
CASE000669,routine,-0.865,1
CASE000670,routine,-0.573,0
CASE000671,routine,-0.649,1
CASE000672,routine,-0.429,1
CASE000673,ambiguous,0.703,1
CASE000674,routine,-0.348,1
CASE000675,routine,-0.352,1
CASE000676,routine,-0.561,1
CASE000677,routine,0.641,1
CASE000678,routine,-0.211,1
CASE000679,routine,-0.776,1
CASE000680,routine,-0.279,1
CASE000681,routine,-0.449,1
CASE000682,ambiguous,0.053,1
CASE000683,ambiguous,0.655,0
CASE000684,ambiguous,0.54,1
CASE000685,ambiguous,0.771,0
CASE000686,routine,-0.812,0
CASE000687,routine,-0.655,1
CASE000688,routine,-0.23,1
CASE000689,ambiguous,0.837,1
CASE000690,routine,-0.397,1
CASE000691,atypical,1.051,1
CASE000692,routine,-0.477,0
CASE000693,routine,-0.429,1
CASE000694,routine,-0.362,1
CASE000695,routine,0.009,1
CASE000696,routine,-0.594,1
CASE000697,routine,-0.692,1
CASE000698,routine,-0.387,1
CASE000699,routine,-0.051,1
CASE000700,routine,-1.135,1
CASE000701,routine,-0.703,1
CASE000702,routine,0.101,1
CASE000703,routine,-0.263,1
CASE000704,routine,-0.684,1
CASE000705,routine,-0.017,1
CASE000706,routine,-0.16,1
CASE000707,ambiguous,0.696,1
CASE000708,routine,-0.194,1
CASE000709,routine,-0.531,1
CASE000710,routine,-0.449,1
CASE000711,routine,-0.853,1
CASE000712,atypical,0.797,0
CASE000713,routine,-0.771,1
CASE000714,routine,-0.865,1
CASE000715,routine,-0.694,1
CASE000716,routine,-0.487,1
CASE000717,ambiguous,0.676,1
CASE000718,routine,-0.623,1
CASE000719,routine,-0.209,1
CASE000720,routine,-0.512,1
CASE000721,routine,-0.695,1
CASE000722,routine,-0.568,1
CASE000723,routine,-0.732,1
CASE000724,routine,-0.925,0
CASE000725,ambiguous,-0.012,1
CASE000726,ambiguous,-0.067,1
CASE000727,ambiguous,1.271,1
CASE000728,ambiguous,0.823,1
CASE000729,atypical,1.47,0
CASE000730,ambiguous,0.775,1
CASE000731,atypical,1.214,0
CASE000732,routine,0.191,1
CASE000733,ambiguous,0.483,1
CASE000734,routine,-0.12,1
CASE000735,routine,-0.502,0
CASE000736,routine,0.096,1
CASE000737,routine,-0.012,1
CASE000738,routine,-0.065,1
CASE000739,routine,-0.661,1
CASE000740,routine,-0.077,1
CASE000741,routine,-0.176,1
CASE000742,routine,-1.231,1
CASE000743,routine,0.17,1
CASE000744,ambiguous,1.169,1
CASE000745,ambiguous,0.693,1
CASE000746,ambiguous,0.673,1
CASE000747,ambiguous,0.105,1
CASE000748,routine,-0.418,1
CASE000749,routine,-0.806,1
CASE000750,ambiguous,1.449,1
CASE000751,ambiguous,0.19,1
CASE000752,routine,0.172,1
CASE000753,routine,-0.918,1
CASE000754,routine,-1.284,1
CASE000755,routine,-0.4,1
CASE000756,ambiguous,0.658,1
CASE000757,routine,-0.264,1
CASE000758,atypical,1.197,0
CASE000759,routine,-0.446,1
CASE000760,routine,-0.226,1
CASE000761,routine,-0.293,1
CASE000762,routine,0.065,1
CASE000763,routine,0.115,1
CASE000764,routine,-0.443,1
CASE000765,routine,-0.163,1
CASE000766,atypical,1.333,0
CASE000767,routine,-0.314,1
CASE000768,routine,-0.434,1
CASE000769,routine,-0.034,1
CASE000770,routine,-1.051,1
CASE000771,routine,-0.583,1
CASE000772,routine,-0.46,1
CASE000773,atypical,1.365,0
CASE000774,ambiguous,-0.311,1
CASE000775,routine,-0.874,1
CASE000776,routine,-0.966,1
CASE000777,routine,-1.421,1
CASE000778,routine,-0.466,1
CASE000779,atypical,1.696,1
CASE000780,routine,0.051,1
CASE000781,atypical,1.101,1
CASE000782,ambiguous,1.156,1
CASE000783,routine,-0.696,1
CASE000784,routine,-0.563,1
CASE000785,ambiguous,0.114,1
CASE000786,routine,-0.364,1
CASE000787,routine,0.267,1
CASE000788,routine,-1.208,1
CASE000789,routine,0.407,1
CASE000790,routine,-0.592,1
CASE000791,routine,-0.7,1
CASE000792,routine,-0.498,1
CASE000793,ambiguous,0.539,0
CASE000794,routine,-0.342,1
CASE000795,ambiguous,0.977,0
CASE000796,routine,-1.052,1
CASE000797,routine,-0.701,1
CASE000798,ambiguous,0.758,1
CASE000799,atypical,1.775,1
CASE000800,routine,-0.197,1
CASE000801,atypical,1.49,0
CASE000802,atypical,0.84,0
CASE000803,routine,-0.414,1
CASE000804,atypical,1.497,1
CASE000805,routine,-0.334,1
CASE000806,routine,0.246,1
CASE000807,routine,-0.188,1
CASE000808,routine,-0.87,1
CASE000809,routine,-0.15,1
CASE000810,routine,-0.699,1
CASE000811,ambiguous,0.591,1
CASE000812,routine,0.286,1
CASE000813,routine,-0.185,1
CASE000814,routine,-0.681,1
CASE000815,routine,-0.935,1
CASE000816,ambiguous,0.98,1
CASE000817,routine,-0.469,1
CASE000818,atypical,1.717,1
CASE000819,atypical,1.505,1
CASE000820,atypical,1.164,0
CASE000821,routine,-0.14,1
CASE000822,ambiguous,1.213,1
CASE000823,routine,-1.097,1
CASE000824,routine,-0.465,1
CASE000825,routine,-0.565,1
CASE000826,ambiguous,0.993,1
CASE000827,atypical,1.602,1
CASE000828,routine,-0.433,1
CASE000829,ambiguous,1.034,1
CASE000830,routine,-0.755,1
CASE000831,routine,-0.209,1
CASE000832,routine,-0.487,1
CASE000833,routine,-0.433,1
CASE000834,routine,-0.304,1
CASE000835,atypical,1.691,1
CASE000836,routine,-0.073,1
CASE000837,routine,-0.647,1
CASE000838,routine,-0.243,1
CASE000839,routine,-0.137,1
CASE000840,ambiguous,-0.063,1
CASE000841,routine,-0.427,1
CASE000842,routine,0.398,1
CASE000843,routine,0.081,1
CASE000844,ambiguous,0.391,1
CASE000845,routine,-0.746,1
CASE000846,ambiguous,0.276,1
CASE000847,ambiguous,0.501,1
CASE000848,routine,-1.018,1
CASE000849,routine,-0.131,1
CASE000850,routine,0.241,1
CASE000851,atypical,1.333,0
CASE000852,routine,-1.226,1
CASE000853,atypical,1.453,1
CASE000854,routine,-0.682,1
CASE000855,ambiguous,0.135,0
