arm,baseline_skill,defer_frac,exam_accuracy,latent_skill,practice_frac,reviewer_id,skill_change_from_baseline,under_reliant,week
,,0.4,,1.2761,0.44,R011,,,20
,,0.48,,1.2401,0.56,R011,,,21
,,0.52,,1.2325,0.48,R011,,,22
,,0.56,,1.2302,0.52,R011,,,23
,,0.52,,1.2517,0.48,R011,,,24
disagreement_prompt,1.4047,,0.9,1.2517,,R011,-0.153,0,exam
,,0.76,,1.4185,0.0,R012,,,1
,,0.56,,1.374,0.04,R012,,,2
,,0.72,,1.348,0.08,R012,,,3
,,0.64,,1.3416,0.04,R012,,,4
,,0.6,,1.3122,0.12,R012,,,5
,,0.8,,1.243,0.04,R012,,,6
,,0.64,,1.1871,0.04,R012,,,7
,,0.76,,1.1165,0.04,R012,,,8
,,0.72,,1.0759,0.2,R012,,,9
,,0.72,,1.0332,0.16,R012,,,10
,,0.84,,1.0043,0.08,R012,,,11
,,0.88,,0.9455,0.04,R012,,,12
,,0.8,,0.8901,0.08,R012,,,13
,,0.88,,0.8512,0.04,R012,,,14
,,0.64,,0.8233,0.24,R012,,,15
,,0.88,,0.8185,0.08,R012,,,16
,,0.8,,0.7629,0.04,R012,,,17
,,0.88,,0.7255,0.08,R012,,,18
,,0.92,,0.6829,0.04,R012,,,19
,,1.0,,0.6195,0.0,R012,,,20
,,0.96,,0.5552,0.04,R012,,,21
,,0.92,,0.4909,0.08,R012,,,22
,,0.88,,0.4441,0.12,R012,,,23
,,1.0,,0.394,0.0,R012,,,24
control_always_ai,1.4394,,0.6833,0.394,,R012,-1.0455,0,exam
,,0.48,,0.7404,1.0,R013,,,1
,,0.68,,0.7857,1.0,R013,,,2
,,0.44,,0.7905,1.0,R013,,,3
,,0.6,,0.8035,1.0,R013,,,4
,,0.72,,0.8019,1.0,R013,,,5
,,0.72,,0.7708,1.0,R013,,,6
,,0.44,,0.7692,1.0,R013,,,7
,,0.6,,0.7603,1.0,R013,,,8
,,0.56,,0.7367,1.0,R013,,,9
,,0.64,,0.7501,1.0,R013,,,10
,,0.68,,0.74,1.0,R013,,,11
,,0.8,,0.7548,1.0,R013,,,12
,,0.68,,0.7264,1.0,R013,,,13
,,0.72,,0.7071,1.0,R013,,,14
,,0.68,,0.7035,1.0,R013,,,15
,,0.84,,0.698,1.0,R013,,,16
,,0.8,,0.6698,1.0,R013,,,17
,,0.8,,0.682,1.0,R013,,,18
,,0.8,,0.67,1.0,R013,,,19
,,0.88,,0.6477,1.0,R013,,,20
,,0.68,,0.6257,1.0,R013,,,21
,,0.76,,0.5942,1.0,R013,,,22
,,0.76,,0.6142,1.0,R013,,,23
,,0.72,,0.6139,1.0,R013,,,24
blind_first,0.7328,,0.7,0.6139,,R013,-0.1189,0,exam
,,0.4,,1.302,0.04,R014,,,1
,,0.4,,1.3015,0.16,R014,,,2
,,0.48,,1.2637,0.2,R014,,,3
,,0.36,,1.2246,0.2,R014,,,4
,,0.4,,1.2177,0.16,R014,,,5
,,0.48,,1.2052,0.16,R014,,,6
,,0.44,,1.1764,0.16,R014,,,7
,,0.4,,1.1357,0.16,R014,,,8
,,0.52,,1.0731,0.04,R014,,,9
,,0.52,,1.0498,0.24,R014,,,10
,,0.56,,1.0466,0.2,R014,,,11
,,0.52,,1.0462,0.2,R014,,,12
,,0.4,,1.0096,0.32,R014,,,13
,,0.4,,0.9856,0.32,R014,,,14
,,0.68,,0.9589,0.24,R014,,,15
,,0.6,,0.9475,0.24,R014,,,16
,,0.56,,0.9331,0.16,R014,,,17
,,0.76,,0.8733,0.12,R014,,,18
,,0.76,,0.8328,0.16,R014,,,19
,,0.68,,0.7739,0.16,R014,,,20
,,0.68,,0.7322,0.24,R014,,,21
,,0.56,,0.7069,0.16,R014,,,22
,,0.72,,0.6803,0.12,R014,,,23
,,0.84,,0.6278,0.16,R014,,,24
withheld_ai,1.333,,0.7167,0.6278,,R014,-0.7052,0,exam
,,0.36,,1.2567,0.4,R015,,,1
,,0.52,,1.246,0.76,R015,,,2
,,0.32,,1.2532,0.52,R015,,,3
,,0.4,,1.2696,0.72,R015,,,4
,,0.28,,1.2884,0.72,R015,,,5
,,0.52,,1.2743,0.48,R015,,,6
,,0.36,,1.2682,0.68,R015,,,7
,,0.36,,1.2529,0.52,R015,,,8
,,0.28,,1.2596,0.48,R015,,,9
,,0.44,,1.2639,0.64,R015,,,10
,,0.56,,1.2538,0.4,R015,,,11
,,0.64,,1.2331,0.48,R015,,,12
,,0.48,,1.2046,0.52,R015,,,13
,,0.6,,1.1785,0.48,R015,,,14
,,0.68,,1.1951,0.48,R015,,,15
,,0.32,,1.1963,0.64,R015,,,16
,,0.72,,1.171,0.44,R015,,,17
,,0.68,,1.1875,0.48,R015,,,18
,,0.48,,1.1716,0.6,R015,,,19
,,0.52,,1.1685,0.4,R015,,,20
,,0.68,,1.1866,0.28,R015,,,21
,,0.68,,1.1805,0.6,R015,,,22
,,0.44,,1.2118,0.6,R015,,,23
,,0.56,,1.2021,0.48,R015,,,24
disagreement_prompt,1.2913,,0.8833,1.2021,,R015,-0.0893,0,exam
,,0.48,,1.7161,0.04,R016,,,1
,,0.64,,1.7281,0.0,R016,,,2
,,0.64,,1.6554,0.04,R016,,,3
,,0.64,,1.6607,0.08,R016,,,4
,,0.64,,1.64,0.04,R016,,,5
,,0.36,,1.6258,0.08,R016,,,6
,,0.6,,1.5844,0.0,R016,,,7
,,0.52,,1.5806,0.08,R016,,,8
,,0.68,,1.551,0.08,R016,,,9
,,0.64,,1.5336,0.16,R016,,,10
,,0.68,,1.4909,0.04,R016,,,11
,,0.64,,1.474,0.12,R016,,,12
,,0.8,,1.4014,0.08,R016,,,13
,,0.88,,1.3451,0.0,R016,,,14
,,0.76,,1.2867,0.04,R016,,,15
,,0.68,,1.2585,0.12,R016,,,16
,,0.8,,1.2327,0.08,R016,,,17
,,0.92,,1.1899,0.0,R016,,,18
,,0.8,,1.1628,0.04,R016,,,19
,,0.72,,1.1389,0.2,R016,,,20
,,0.88,,1.1118,0.08,R016,,,21
,,0.92,,1.0389,0.0,R016,,,22
,,0.88,,0.9994,0.08,R016,,,23
,,0.88,,0.9753,0.08,R016,,,24
control_always_ai,1.7738,,0.85,0.9753,,R016,-0.7986,0,exam
,,0.36,,1.2642,1.0,R017,,,1
,,0.56,,1.2666,1.0,R017,,,2
,,0.68,,1.2492,1.0,R017,,,3
,,0.56,,1.2584,1.0,R017,,,4
,,0.6,,1.2502,1.0,R017,,,5
,,0.6,,1.2595,1.0,R017,,,6
,,0.68,,1.2686,1.0,R017,,,7
,,0.64,,1.278,1.0,R017,,,8
,,0.52,,1.2883,1.0,R017,,,9
,,0.52,,1.2779,1.0,R017,,,10
,,0.44,,1.2681,1.0,R017,,,11
,,0.72,,1.2422,1.0,R017,,,12
,,0.76,,1.2126,1.0,R017,,,13
,,0.6,,1.2399,1.0,R017,,,14
,,0.68,,1.2399,1.0,R017,,,15
,,0.56,,1.2253,1.0,R017,,,16
,,0.52,,1.2166,1.0,R017,,,17
,,0.88,,1.1559,1.0,R017,,,18
,,0.88,,1.146,1.0,R017,,,19
,,0.72,,1.1843,1.0,R017,,,20
,,0.64,,1.171,1.0,R017,,,21
,,0.68,,1.1836,1.0,R017,,,22
,,0.68,,1.1621,1.0,R017,,,23
,,0.84,,1.1637,1.0,R017,,,24
blind_first,1.297,,0.7667,1.1637,,R017,-0.1334,0,exam
,,0.32,,0.6268,0.4,R018,,,1
,,0.6,,0.6213,0.12,R018,,,2
,,0.84,,0.5766,0.08,R018,,,3
,,0.64,,0.542,0.2,R018,,,4
,,0.6,,0.5227,0.12,R018,,,5
,,0.88,,0.485,0.04,R018,,,6
,,0.64,,0.4521,0.24,R018,,,7
,,0.6,,0.4168,0.16,R018,,,8
,,0.68,,0.3829,0.2,R018,,,9
,,0.68,,0.3737,0.08,R018,,,10
,,0.64,,0.3488,0.24,R018,,,11
,,0.6,,0.3159,0.16,R018,,,12
,,0.68,,0.2931,0.12,R018,,,13
,,0.72,,0.2685,0.24,R018,,,14
,,0.6,,0.2823,0.28,R018,,,15
,,0.76,,0.2397,0.08,R018,,,16
,,0.76,,0.2264,0.16,R018,,,17
,,0.72,,0.2337,0.24,R018,,,18
,,0.56,,0.2033,0.32,R018,,,19
,,0.8,,0.1702,0.12,R018,,,20
,,0.88,,0.1191,0.12,R018,,,21
,,0.8,,0.0834,0.2,R018,,,22
,,0.68,,0.0526,0.24,R018,,,23
,,0.8,,0.05,0.2,R018,,,24
withheld_ai,0.6318,,0.5833,0.05,,R018,-0.5818,0,exam
,,0.76,,1.0689,0.48,R019,,,1
,,0.64,,1.016,0.28,R019,,,2
,,0.6,,1.005,0.52,R019,,,3
,,0.68,,0.9966,0.6,R019,,,4
,,0.52,,1.0036,0.4,R019,,,5
,,0.68,,0.9669,0.56,R019,,,6
,,0.68,,0.9585,0.68,R019,,,7
,,0.52,,0.9661,0.48,R019,,,8
,,0.76,,0.9688,0.48,R019,,,9
,,0.76,,0.9845,0.36,R019,,,10
,,0.76,,1.0065,0.52,R019,,,11
,,0.72,,1.0162,0.48,R019,,,12
,,0.76,,1.0027,0.52,R019,,,13
,,0.68,,0.9901,0.36,R019,,,14
,,0.8,,0.9839,0.64,R019,,,15
,,0.84,,0.9543,0.56,R019,,,16
,,0.88,,0.9171,0.4,R019,,,17
,,0.88,,0.886,0.56,R019,,,18
,,0.8,,0.8779,0.56,R019,,,19
,,0.92,,0.8495,0.56,R019,,,20
,,0.84,,0.7939,0.4,R019,,,21
,,0.84,,0.75,0.6,R019,,,22
,,0.84,,0.7472,0.56,R019,,,23
,,1.0,,0.7429,0.52,R019,,,24
disagreement_prompt,1.1238,,0.75,0.7429,,R019,-0.381,0,exam
,,0.88,,1.2345,0.04,R020,,,1
,,0.64,,1.2184,0.12,R020,,,2
,,0.52,,1.1786,0.16,R020,,,3
,,0.92,,1.1182,0.0,R020,,,4
,,0.92,,1.0792,0.04,R020,,,5
,,0.88,,1.0283,0.04,R020,,,6
,,0.76,,1.0186,0.16,R020,,,7
,,0.84,,0.9863,0.04,R020,,,8
,,0.92,,0.9224,0.04,R020,,,9
,,0.96,,0.8966,0.04,R020,,,10
,,0.96,,0.8621,0.04,R020,,,11
,,0.92,,0.8417,0.08,R020,,,12
,,0.88,,0.8103,0.08,R020,,,13
,,0.96,,0.7792,0.04,R020,,,14
,,0.96,,0.7317,0.0,R020,,,15
,,0.92,,0.703,0.04,R020,,,16
,,0.84,,0.6639,0.16,R020,,,17
,,0.84,,0.6176,0.0,R020,,,18
,,0.88,,0.5714,0.04,R020,,,19
,,0.88,,0.5586,0.12,R020,,,20
,,1.0,,0.5,0.0,R020,,,21
,,0.92,,0.4169,0.04,R020,,,22
,,1.0,,0.3715,0.0,R020,,,23
,,0.92,,0.3522,0.04,R020,,,24
control_always_ai,1.2446,,0.5333,0.3522,,R020,-0.8924,0,exam
,,0.12,,1.284,1.0,R021,,,1
,,0.12,,1.3056,1.0,R021,,,2
,,0.08,,1.2835,1.0,R021,,,3
,,0.04,,1.3193,1.0,R021,,,4
,,0.16,,1.3387,1.0,R021,,,5
,,0.08,,1.3644,1.0,R021,,,6
,,0.08,,1.3874,1.0,R021,,,7
,,0.28,,1.3824,1.0,R021,,,8
,,0.32,,1.3889,1.0,R021,,,9
,,0.16,,1.4155,1.0,R021,,,10
,,0.04,,1.4522,1.0,R021,,,11
,,0.16,,1.4852,1.0,R021,,,12
,,0.28,,1.5282,1.0,R021,,,13
,,0.16,,1.5693,1.0,R021,,,14
,,0.12,,1.599,1.0,R021,,,15
,,0.12,,1.614,1.0,R021,,,16
,,0.28,,1.6354,1.0,R021,,,17
,,0.28,,1.6625,1.0,R021,,,18
,,0.24,,1.6485,1.0,R021,,,19
,,0.36,,1.6612,1.0,R021,,,20
,,0.2,,1.686,1.0,R021,,,21
,,0.36,,1.7141,1.0,R021,,,22
,,0.16,,1.771,1.0,R021,,,23
,,0.2,,1.7903,1.0,R021,,,24
blind_first,1.2718,,0.95,1.7903,,R021,0.5185,0,exam
,,0.48,,1.4099,0.2,R022,,,1
,,0.52,,1.378,0.2,R022,,,2
,,0.56,,1.3776,0.12,R022,,,3
,,0.6,,1.3202,0.2,R022,,,4
,,0.6,,1.2893,0.16,R022,,,5
,,0.32,,1.2926,0.2,R022,,,6
,,0.64,,1.2631,0.08,R022,,,7
,,0.52,,1.2434,0.28,R022,,,8
,,0.64,,1.2151,0.12,R022,,,9
,,0.6,,1.1711,0.08,R022,,,10
,,0.48,,1.1603,0.2,R022,,,11
,,0.56,,1.1544,0.2,R022,,,12
,,0.48,,1.1554,0.28,R022,,,13
,,0.52,,1.1288,0.2,R022,,,14
,,0.6,,1.1096,0.2,R022,,,15
,,0.76,,1.0766,0.12,R022,,,16
,,0.6,,1.0853,0.28,R022,,,17
,,0.64,,1.0184,0.2,R022,,,18
,,0.68,,0.9753,0.16,R022,,,19
,,0.68,,0.9214,0.28,R022,,,20
,,0.72,,0.8647,0.2,R022,,,21
,,0.56,,0.8315,0.36,R022,,,22
,,0.72,,0.7591,0.28,R022,,,23
,,0.8,,0.7257,0.2,R022,,,24
withheld_ai,1.4351,,0.7167,0.7257,,R022,-0.7095,0,exam
,,0.52,,1.2354,0.48,R023,,,1
,,0.44,,1.2182,0.52,R023,,,2
,,0.56,,1.1909,0.48,R023,,,3
,,0.48,,1.1755,0.52,R023,,,4
,,0.6,,1.1814,0.6,R023,,,5
,,0.84,,1.1762,0.56,R023,,,6
,,0.72,,1.1837,0.56,R023,,,7
,,0.52,,1.1805,0.6,R023,,,8
,,0.64,,1.1764,0.4,R023,,,9
,,0.72,,1.195,0.6,R023,,,10
,,0.72,,1.2055,0.44,R023,,,11
,,0.68,,1.1962,0.52,R023,,,12
,,0.44,,1.1764,0.6,R023,,,13
,,0.68,,1.1474,0.48,R023,,,14
,,0.72,,1.1426,0.52,R023,,,15
,,0.72,,1.0931,0.44,R023,,,16
,,0.68,,1.053,0.48,R023,,,17
