reviewer_id,domain,arm,years_experience,n_ai_shown_events,over_reliance_n,over_reliance_rate,appropriate_reliance_n,appropriate_reliance_rate,under_reliance_n,under_reliance_rate,appropriate_skepticism_n,appropriate_skepticism_rate,override_rate
R025,chest_xray_triage,blind_first,13,557,20,0.0359,484,0.8689,28,0.0503,25,0.0449,0.0952
R026,chest_xray_triage,withheld_ai,19,497,40,0.0805,415,0.835,27,0.0543,15,0.0302,0.0845
R027,chest_xray_triage,disagreement_prompt,9,561,29,0.0517,412,0.7344,98,0.1747,22,0.0392,0.2139
R028,chest_xray_triage,control_always_ai,5,558,55,0.0986,494,0.8853,9,0.0161,0,0.0,0.0161
R029,chest_xray_triage,blind_first,6,557,24,0.0431,451,0.8097,51,0.0916,31,0.0557,0.1472
R030,chest_xray_triage,withheld_ai,21,478,42,0.0879,403,0.8431,24,0.0502,9,0.0188,0.069
R031,chest_xray_triage,disagreement_prompt,13,563,28,0.0497,464,0.8242,56,0.0995,15,0.0266,0.1261
R032,chest_xray_triage,control_always_ai,15,562,46,0.0819,488,0.8683,21,0.0374,7,0.0125,0.0498
R033,chest_xray_triage,blind_first,4,553,28,0.0506,446,0.8065,52,0.094,27,0.0488,0.1429
R034,chest_xray_triage,withheld_ai,17,493,30,0.0609,338,0.6856,104,0.211,21,0.0426,0.2535
R035,chest_xray_triage,disagreement_prompt,11,560,37,0.0661,452,0.8071,49,0.0875,22,0.0393,0.1268
R036,chest_xray_triage,control_always_ai,8,554,47,0.0848,496,0.8953,8,0.0144,3,0.0054,0.0199
R037,chest_xray_triage,blind_first,16,561,44,0.0784,498,0.8877,17,0.0303,2,0.0036,0.0339
R038,chest_xray_triage,withheld_ai,4,498,41,0.0823,438,0.8795,6,0.012,13,0.0261,0.0382
R039,chest_xray_triage,disagreement_prompt,18,563,47,0.0835,505,0.897,5,0.0089,6,0.0107,0.0195
R040,chest_xray_triage,control_always_ai,7,563,51,0.0906,450,0.7993,55,0.0977,7,0.0124,0.1101
R041,chest_xray_triage,blind_first,20,559,13,0.0233,478,0.8551,29,0.0519,39,0.0698,0.1216
R042,chest_xray_triage,withheld_ai,7,502,27,0.0538,424,0.8446,38,0.0757,13,0.0259,0.1016
R043,chest_xray_triage,disagreement_prompt,21,557,4,0.0072,486,0.8725,32,0.0575,35,0.0628,0.1203
