reviewer_id,domain,arm,years_exp,reliance_class,risk_level,intervention_type,frequency,over_reliance_rate,under_reliance_rate,deferred_rate_actual,ind_accuracy_est,ai_accuracy_domain,n_events_in_log,n_ai_shown_events,n_blind_cases_added,n_prompt_cases_added,n_probe_cases_added,n_cases_affected_total,p_worse_per_full_case,p_better_per_full_case,n_cases_made_worse,n_cases_made_better,net_wrong_cases_added,n_under_reliance_events,n_under_fixed_by_calib,n_practice_reps_gained,skill_gain_units,exam_acc_gain_est,arm_exam_baseline,projected_exam_with_intv,cost_per_exam_point,flags
C010,code_review,withheld_ai,19,OVER,HIGH,forced_blind_cases + disagreement_prompts + workload_rebalancing,weekly (re-evaluate every 2 weeks against handoff refresh),0.1111,0.004,0.9939,0.7117,0.9046,600,495,124,139,0,263,0.2592,0.0675,50.2,13.1,37.1,2,1,192.3,0.6308,0.0667,0.697,0.7637,752.3,declining_trend; wide_interval; low_capability; over_reliance_high; defer_very_high
C011,code_review,disagreement_prompt,12,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0712,0.073,0.9093,0.7687,0.9046,600,562,0,0,0,0,0.1903,0.0667,0.0,0.0,0.0,41,16,0.0,0.0,0.0,0.8,0.8,inf,low_capability
C012,code_review,control_always_ai,18,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0547,0.0459,0.9153,0.8641,0.9046,600,567,0,0,0,0,0.1125,0.0755,0.0,0.0,0.0,26,10,0.0,0.0,0.0,0.609,0.609,inf,wide_interval
C013,code_review,blind_first,21,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.087,0.0504,0.9496,0.3368,0.9046,600,575,72,61,0,133,0.5697,0.0305,58.4,3.1,55.3,29,12,97.3,0.3192,0.0337,0.817,0.8507,1730.6,declining_trend; low_capability; already_blind_arm
C014,code_review,withheld_ai,18,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0536,0.248,0.6984,0.6092,0.9046,600,504,0,0,0,0,0.2469,0.0406,0.0,50.0,-50.0,125,50,0.0,0.0,0.0,0.697,0.697,0.0,low_capability; under_reliance_high
C015,code_review,disagreement_prompt,5,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0252,0.0631,0.8432,0.8944,0.9046,600,555,0,0,0,0,0.0805,0.072,0.0,0.0,0.0,35,14,0.0,0.0,0.0,0.8,0.8,inf,
R000,chest_xray_triage,control_always_ai,12,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0775,0.0757,0.9053,0.4201,0.9065,600,581,0,0,0,0,0.4759,0.0356,0.0,18.0,-18.0,44,18,0.0,0.0,0.0,0.609,0.609,0.0,wide_interval; low_capability; under_reliance_high
R001,chest_xray_triage,blind_first,12,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0479,0.0426,0.9096,0.8073,0.9065,600,564,0,0,0,0,0.1589,0.0687,0.0,0.0,0.0,24,10,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
R002,chest_xray_triage,withheld_ai,16,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0763,0.01,0.988,0.7712,0.9065,600,498,62,58,0,120,0.2049,0.0713,18.6,6.5,12.2,5,2,89.9,0.2949,0.0312,0.697,0.7282,598.2,wide_interval; low_capability
R003,chest_xray_triage,disagreement_prompt,20,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0469,0.0487,0.8953,0.8776,0.9065,600,554,0,0,0,0,0.0993,0.0735,0.0,0.0,0.0,27,11,0.0,0.0,0.0,0.8,0.8,inf,wide_interval
R004,chest_xray_triage,control_always_ai,3,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0987,0.0592,0.921,0.7239,0.9065,600,557,70,50,0,120,0.2305,0.0624,21.9,5.9,16.0,33,13,87.5,0.287,0.0303,0.609,0.6393,721.9,wide_interval; low_capability
R005,chest_xray_triage,blind_first,7,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0299,0.1213,0.826,0.808,0.9065,600,569,0,0,0,0,0.1437,0.0624,0.0,28.0,-28.0,69,28,0.0,0.0,0.0,0.817,0.817,0.0,under_reliance_high; already_blind_arm
R006,chest_xray_triage,withheld_ai,3,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0676,0.0398,0.9503,0.6654,0.9065,600,503,0,0,0,0,0.2883,0.0591,0.0,0.0,0.0,20,8,0.0,0.0,0.0,0.697,0.697,inf,low_capability
R007,chest_xray_triage,disagreement_prompt,5,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.037,0.0617,0.8748,0.9185,0.9065,600,567,0,0,0,0,0.0646,0.0751,0.0,0.0,0.0,35,14,0.0,0.0,0.0,0.8,0.8,inf,wide_interval
R008,chest_xray_triage,control_always_ai,6,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0625,0.0304,0.9607,0.7714,0.9065,600,560,70,60,0,130,0.1991,0.0693,19.9,6.9,13.0,17,7,96.1,0.3151,0.0333,0.609,0.6423,597.9,wide_interval; low_capability; defer_very_high
R009,chest_xray_triage,blind_first,9,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0479,0.055,0.9096,0.8545,0.9065,600,564,0,0,0,0,0.12,0.0727,0.0,0.0,0.0,31,12,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
R010,chest_xray_triage,withheld_ai,1,OVER,HIGH,forced_blind_cases + disagreement_prompts + workload_rebalancing,weekly (re-evaluate every 2 weeks against handoff refresh),0.1031,0.0186,0.9753,0.6146,0.9065,600,485,121,126,0,247,0.3408,0.0561,62.7,10.3,52.4,9,4,179.4,0.5886,0.0622,0.697,0.7592,1007.9,declining_trend; wide_interval; low_capability; over_reliance_high; defer_very_high
R011,chest_xray_triage,disagreement_prompt,17,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0517,0.0713,0.893,0.8828,0.9065,600,561,0,0,0,0,0.0949,0.0737,0.0,0.0,0.0,40,16,0.0,0.0,0.0,0.8,0.8,inf,wide_interval
R012,chest_xray_triage,control_always_ai,7,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0736,0.0197,0.9641,0.7437,0.9065,600,557,70,60,0,130,0.224,0.0671,22.4,6.7,15.7,11,4,96.4,0.3162,0.0334,0.609,0.6424,670.2,wide_interval; low_capability; defer_very_high
R013,chest_xray_triage,blind_first,20,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0582,0.0547,0.933,0.6892,0.9065,600,567,0,0,0,0,0.2628,0.0601,0.0,0.0,0.0,31,12,0.0,0.0,0.0,0.817,0.817,inf,declining_trend; low_capability; already_blind_arm
R014,chest_xray_triage,withheld_ai,20,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0732,0.0508,0.9248,0.7971,0.9065,600,492,62,39,0,101,0.1701,0.0689,13.9,5.6,8.2,25,10,75.4,0.2472,0.0261,0.697,0.7231,530.4,wide_interval; low_capability
R015,chest_xray_triage,disagreement_prompt,15,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0665,0.0701,0.8932,0.51,0.9065,600,571,0,0,0,0,0.3967,0.0426,0.0,0.0,0.0,40,16,0.0,0.0,0.0,0.8,0.8,inf,low_capability
R016,chest_xray_triage,control_always_ai,2,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0802,0.0267,0.9554,0.7452,0.9065,600,561,70,53,0,123,0.2207,0.0666,21.3,6.4,14.9,15,6,92.2,0.3024,0.032,0.609,0.641,666.3,wide_interval; low_capability
R017,chest_xray_triage,blind_first,7,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0651,0.0475,0.919,0.8663,0.9065,600,568,0,0,0,0,0.1114,0.0745,0.0,0.0,0.0,27,11,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
R018,chest_xray_triage,withheld_ai,4,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0509,0.0591,0.9328,0.6426,0.9065,600,491,61,51,0,112,0.3022,0.0561,26.1,4.8,21.3,29,12,80.7,0.2647,0.028,0.697,0.725,934.5,declining_trend; low_capability; defer_very_high
R019,chest_xray_triage,disagreement_prompt,10,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.098,0.0254,0.9619,0.8312,0.9065,600,551,69,54,0,123,0.1472,0.0748,14.1,7.2,6.9,14,6,92.3,0.3029,0.032,0.8,0.832,441.3,wide_interval; low_capability; defer_very_high
R020,chest_xray_triage,control_always_ai,10,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0936,0.023,0.9717,0.6914,0.9065,600,566,71,65,0,136,0.2719,0.0628,28.1,6.5,21.6,13,5,100.6,0.3299,0.0349,0.609,0.6439,807.1,wide_interval; low_capability; defer_very_high
R021,chest_xray_triage,blind_first,11,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0283,0.0956,0.8442,0.8754,0.9065,600,565,0,0,0,0,0.0953,0.0691,0.0,22.0,-22.0,54,22,0.0,0.0,0.0,0.817,0.817,0.0,under_reliance_high; already_blind_arm
R022,chest_xray_triage,withheld_ai,15,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0771,0.0375,0.9292,0.8341,0.9065,600,480,60,44,0,104,0.1397,0.0725,11.5,5.9,5.5,18,7,76.2,0.2499,0.0264,0.697,0.7234,433.7,wide_interval; low_capability
R023,chest_xray_triage,disagreement_prompt,18,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0701,0.0432,0.9388,0.7961,0.9065,600,556,0,0,0,0,0.1735,0.0699,0.0,0.0,0.0,24,10,0.0,0.0,0.0,0.8,0.8,inf,wide_interval; low_capability
R024,chest_xray_triage,control_always_ai,4,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.094,0.0195,0.9734,0.54,0.9065,600,564,70,63,0,133,0.4059,0.0492,41.2,5.0,36.2,11,4,98.8,0.3241,0.0343,0.609,0.6433,1202.9,wide_interval; low_capability; defer_very_high
R025,chest_xray_triage,blind_first,13,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0359,0.0503,0.9048,0.8935,0.9065,600,557,0,0,0,0,0.0874,0.0756,0.0,0.0,0.0,28,11,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
R026,chest_xray_triage,withheld_ai,19,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0805,0.0543,0.9155,0.8638,0.9065,600,497,62,40,0,102,0.1131,0.074,9.3,6.1,3.2,27,11,75.1,0.2462,0.026,0.697,0.723,356.2,wide_interval
R027,chest_xray_triage,disagreement_prompt,9,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0517,0.1747,0.7861,0.7956,0.9065,600,561,0,0,0,0,0.1456,0.0585,0.0,39.0,-39.0,98,39,0.0,0.0,0.0,0.8,0.8,0.0,low_capability; under_reliance_high
R028,chest_xray_triage,control_always_ai,5,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0986,0.0161,0.9839,0.8199,0.9065,600,558,70,64,0,134,0.1606,0.0754,16.4,7.7,8.7,9,4,100.4,0.3292,0.0348,0.609,0.6438,470.9,wide_interval; low_capability; defer_very_high
R029,chest_xray_triage,blind_first,6,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0431,0.0916,0.8528,0.8342,0.9065,600,557,0,0,0,0,0.1282,0.0665,0.0,20.0,-20.0,51,20,0.0,0.0,0.0,0.817,0.817,0.0,under_reliance_high; already_blind_arm
R030,chest_xray_triage,withheld_ai,21,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0879,0.0502,0.931,0.641,0.9065,600,478,0,0,0,0,0.3029,0.0558,0.0,0.0,0.0,24,10,0.0,0.0,0.0,0.697,0.697,inf,low_capability; defer_very_high
R031,chest_xray_triage,disagreement_prompt,13,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0497,0.0995,0.8739,0.6943,0.9065,600,563,0,0,0,0,0.2421,0.0567,0.0,22.0,-22.0,56,22,0.0,0.0,0.0,0.8,0.8,0.0,low_capability; under_reliance_high
R032,chest_xray_triage,control_always_ai,15,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0819,0.0374,0.9502,0.6058,0.9065,600,562,70,57,0,127,0.3395,0.0538,33.4,5.3,28.1,21,8,93.6,0.307,0.0324,0.609,0.6414,1030.7,wide_interval; low_capability; defer_very_high
R033,chest_xray_triage,blind_first,4,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0506,0.094,0.8571,0.8279,0.9065,600,553,0,0,0,0,0.1337,0.0664,0.0,21.0,-21.0,52,21,0.0,0.0,0.0,0.817,0.817,0.0,under_reliance_high; already_blind_arm
R034,chest_xray_triage,withheld_ai,17,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0609,0.211,0.7465,0.6447,0.9065,600,493,0,0,0,0,0.2404,0.045,0.0,42.0,-42.0,104,42,0.0,0.0,0.0,0.697,0.697,0.0,low_capability; under_reliance_high
R035,chest_xray_triage,disagreement_prompt,11,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0661,0.0875,0.8732,0.8638,0.9065,600,560,0,0,0,0,0.1078,0.0705,0.0,20.0,-20.0,49,20,0.0,0.0,0.0,0.8,0.8,0.0,low_capability; under_reliance_high
R036,chest_xray_triage,control_always_ai,8,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0848,0.0144,0.9801,0.5718,0.9065,600,554,69,58,0,127,0.3805,0.0524,37.3,5.1,32.1,8,3,96.1,0.3151,0.0333,0.609,0.6423,1119.7,wide_interval; low_capability; defer_very_high
R037,chest_xray_triage,blind_first,16,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0784,0.0303,0.9661,0.5149,0.9065,600,561,70,61,0,131,0.4249,0.0465,42.7,4.7,38.0,17,7,97.1,0.3185,0.0337,0.817,0.8507,1268.6,declining_trend; low_capability; defer_very_high; already_blind_arm
R038,chest_xray_triage,withheld_ai,4,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0823,0.012,0.9618,0.8462,0.9065,600,498,62,50,0,112,0.1341,0.0761,11.7,6.6,5.0,6,2,83.7,0.2745,0.029,0.697,0.726,402.1,wide_interval; defer_very_high
R039,chest_xray_triage,disagreement_prompt,18,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0835,0.0089,0.9805,0.8322,0.9065,600,563,70,65,0,135,0.1492,0.0763,15.3,7.8,7.5,5,2,100.5,0.3296,0.0348,0.8,0.8348,438.9,wide_interval; low_capability; defer_very_high
R040,chest_xray_triage,control_always_ai,7,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0906,0.0977,0.8899,0.6197,0.9065,600,563,0,0,0,0,0.3067,0.0516,0.0,22.0,-22.0,55,22,0.0,0.0,0.0,0.609,0.609,0.0,low_capability; under_reliance_high
R041,chest_xray_triage,blind_first,20,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0233,0.0519,0.8784,0.9104,0.9065,600,559,0,0,0,0,0.0714,0.0748,0.0,0.0,0.0,29,12,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
R042,chest_xray_triage,withheld_ai,7,UNDER,LOW,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0538,0.0757,0.8984,0.7637,0.9065,600,502,0,0,0,0,0.1924,0.0642,0.0,15.0,-15.0,38,15,0.0,0.0,0.0,0.697,0.697,0.0,low_capability; under_reliance_high
R043,chest_xray_triage,disagreement_prompt,21,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0072,0.0575,0.8797,0.9107,0.9065,600,557,0,0,0,0,0.0712,0.0749,0.0,0.0,0.0,32,13,0.0,0.0,0.0,0.8,0.8,inf,wide_interval
