participant_id,group,phase,item_id,true_label,response,correct,rt_ms,difficulty,hint_shown,hint_label,hint_correct,followed_hint
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T18,Human,,TRUE,554,medium,TRUE,Human,TRUE,TRUE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T19,AI,,FALSE,517,easy,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T20,Human,,FALSE,385,medium,TRUE,Human,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X01,AI,,FALSE,1597,easy,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X02,Human,,FALSE,694,easy,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X03,AI,,TRUE,552,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X04,Human,,FALSE,380,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X05,AI,,TRUE,373,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X06,Human,,FALSE,404,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X07,Human,,TRUE,290,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X08,AI,,FALSE,264,hard,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X09,Human,,TRUE,342,easy,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,test,X10,AI,,FALSE,315,hard,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T01,AI,,TRUE,50162,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T02,Human,,TRUE,22892,easy,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T03,AI,,TRUE,14833,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T04,Human,,TRUE,2549,easy,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T05,AI,,TRUE,1890,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T06,Human,,FALSE,3640,easy,TRUE,AI,FALSE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T07,AI,,TRUE,3391,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T08,Human,,TRUE,5848,medium,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T09,AI,,TRUE,2049,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T10,Human,,TRUE,3046,medium,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T11,AI,,TRUE,2235,medium,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T12,Human,,FALSE,21881,medium,TRUE,AI,FALSE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T13,AI,,FALSE,56185,medium,TRUE,Human,FALSE,FALSE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T14,Human,,TRUE,15801,medium,TRUE,AI,FALSE,FALSE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T15,Human,,TRUE,2183,easy,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T16,AI,,TRUE,17781,medium,TRUE,Human,FALSE,FALSE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T17,AI,,TRUE,6490,easy,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T18,Human,,TRUE,2141,medium,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T19,AI,,TRUE,3340,easy,TRUE,AI,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,training,T20,Human,,TRUE,2376,medium,TRUE,Human,TRUE,TRUE
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X01,AI,,TRUE,15633,easy,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X02,Human,,TRUE,3642,easy,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X03,AI,,TRUE,6647,medium,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X04,Human,,TRUE,19080,medium,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X05,AI,,TRUE,19149,medium,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X06,Human,,TRUE,13831,medium,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X07,Human,,TRUE,14401,medium,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X08,AI,,TRUE,12125,hard,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X09,Human,,TRUE,4419,easy,FALSE,,,
2d77484b-5034-431b-8933-d772cc8c5d9a,A,test,X10,AI,,TRUE,13600,hard,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T01,AI,,TRUE,10997,medium,TRUE,AI,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T02,Human,,TRUE,4632,easy,TRUE,Human,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T03,AI,,FALSE,6672,medium,FALSE,AI,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T04,Human,,TRUE,4965,easy,TRUE,Human,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T05,AI,,TRUE,2409,medium,TRUE,AI,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T06,Human,,TRUE,5806,easy,FALSE,AI,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T07,AI,,TRUE,3896,medium,TRUE,AI,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T08,Human,,TRUE,3497,medium,TRUE,Human,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T09,AI,,TRUE,7686,medium,FALSE,AI,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T10,Human,,TRUE,3739,medium,TRUE,Human,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T11,AI,,FALSE,3736,medium,TRUE,AI,TRUE,FALSE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T12,Human,,TRUE,6589,medium,FALSE,AI,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T13,AI,,FALSE,6530,medium,TRUE,Human,FALSE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T14,Human,,FALSE,4080,medium,TRUE,AI,FALSE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T15,Human,,FALSE,4166,easy,FALSE,Human,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T16,AI,,FALSE,4370,medium,TRUE,Human,FALSE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T17,AI,,FALSE,4816,easy,TRUE,AI,TRUE,FALSE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T18,Human,,TRUE,4505,medium,FALSE,Human,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T19,AI,,FALSE,6681,easy,TRUE,AI,TRUE,FALSE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,training,T20,Human,,TRUE,2250,medium,TRUE,Human,TRUE,TRUE
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X01,AI,,FALSE,5619,easy,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X02,Human,,TRUE,5172,easy,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X03,AI,,TRUE,5403,medium,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X04,Human,,FALSE,7474,medium,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X05,AI,,FALSE,10121,medium,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X06,Human,,FALSE,3905,medium,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X07,Human,,TRUE,2324,medium,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X08,AI,,FALSE,4465,hard,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X09,Human,,TRUE,4750,easy,FALSE,,,
a117fd24-2b2b-4a35-9c5a-e21f4d0d6a7b,B,test,X10,AI,,FALSE,8056,hard,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T01,AI,,TRUE,6484,medium,TRUE,AI,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T02,Human,,TRUE,4076,easy,TRUE,Human,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T03,AI,,FALSE,6665,medium,FALSE,AI,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T04,Human,,TRUE,2585,easy,TRUE,Human,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T05,AI,,TRUE,2155,medium,TRUE,AI,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T06,Human,,FALSE,2266,easy,FALSE,AI,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T07,AI,,FALSE,1692,medium,TRUE,AI,TRUE,FALSE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T08,Human,,TRUE,1947,medium,TRUE,Human,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T09,AI,,FALSE,2196,medium,FALSE,AI,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T10,Human,,TRUE,2299,medium,TRUE,Human,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T11,AI,,TRUE,2679,medium,TRUE,AI,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T12,Human,,FALSE,4508,medium,FALSE,AI,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T13,AI,,FALSE,2337,medium,TRUE,Human,FALSE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T14,Human,,FALSE,2175,medium,TRUE,AI,FALSE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T15,Human,,FALSE,2068,easy,FALSE,Human,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T16,AI,,FALSE,2237,medium,TRUE,Human,FALSE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T17,AI,,TRUE,2138,easy,TRUE,AI,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T18,Human,,FALSE,1826,medium,FALSE,Human,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T19,AI,,TRUE,2736,easy,TRUE,AI,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,training,T20,Human,,TRUE,2298,medium,TRUE,Human,TRUE,TRUE
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X01,AI,,TRUE,8160,easy,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X02,Human,,TRUE,4275,easy,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X03,AI,,TRUE,4938,medium,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X04,Human,,FALSE,6591,medium,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X05,AI,,TRUE,3087,medium,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X06,Human,,FALSE,1425,medium,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X07,Human,,FALSE,1060,medium,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X08,AI,,TRUE,1111,hard,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X09,Human,,TRUE,994,easy,FALSE,,,
4e0c72a0-ec4f-4bc2-9bb8-d4d245574f97,B,test,X10,AI,,FALSE,865,hard,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T01,AI,,TRUE,14029,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T02,Human,,TRUE,6000,easy,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T03,AI,,TRUE,19036,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T04,Human,,TRUE,8340,easy,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T05,AI,,TRUE,4466,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T06,Human,,TRUE,15506,easy,TRUE,AI,FALSE,FALSE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T07,AI,,TRUE,20515,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T08,Human,,TRUE,3131,medium,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T09,AI,,TRUE,2745,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T10,Human,,TRUE,11310,medium,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T11,AI,,TRUE,4618,medium,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T12,Human,,TRUE,23607,medium,TRUE,AI,FALSE,FALSE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T13,AI,,FALSE,37458,medium,TRUE,Human,FALSE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T14,Human,,FALSE,2673,medium,TRUE,AI,FALSE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T15,Human,,TRUE,4230,easy,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T16,AI,,FALSE,5252,medium,TRUE,Human,FALSE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T17,AI,,TRUE,5830,easy,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T18,Human,,FALSE,1749,medium,TRUE,Human,TRUE,FALSE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T19,AI,,TRUE,27243,easy,TRUE,AI,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,training,T20,Human,,TRUE,4985,medium,TRUE,Human,TRUE,TRUE
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X01,AI,,TRUE,30311,easy,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X02,Human,,FALSE,8376,easy,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X03,AI,,TRUE,5412,medium,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X04,Human,,TRUE,25215,medium,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X05,AI,,TRUE,10741,medium,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X06,Human,,TRUE,49500,medium,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X07,Human,,TRUE,34247,medium,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X08,AI,,FALSE,148978,hard,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X09,Human,,TRUE,2466,easy,FALSE,,,
c58c7683-64ce-46d5-9fc5-1aaafec8e177,A,test,X10,AI,,FALSE,6317,hard,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,training,T01,AI,,TRUE,27587,medium,TRUE,AI,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T02,Human,,TRUE,6658,easy,TRUE,Human,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T03,AI,,FALSE,5148,medium,TRUE,AI,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T04,Human,,TRUE,6177,easy,TRUE,Human,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T05,AI,,TRUE,7368,medium,TRUE,AI,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T06,Human,,FALSE,17999,easy,TRUE,AI,FALSE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T07,AI,,FALSE,7097,medium,TRUE,AI,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T08,Human,,FALSE,7711,medium,TRUE,Human,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T09,AI,,TRUE,5860,medium,TRUE,AI,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T10,Human,,FALSE,11950,medium,TRUE,Human,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T11,AI,,TRUE,11945,medium,TRUE,AI,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T12,Human,,TRUE,11097,medium,TRUE,AI,FALSE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T13,AI,,FALSE,5576,medium,TRUE,Human,FALSE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T14,Human,,FALSE,4935,medium,TRUE,AI,FALSE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T15,Human,,FALSE,4515,easy,TRUE,Human,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T16,AI,,FALSE,5897,medium,TRUE,Human,FALSE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T17,AI,,FALSE,7867,easy,TRUE,AI,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T18,Human,,TRUE,6708,medium,TRUE,Human,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T19,AI,,FALSE,3844,easy,TRUE,AI,TRUE,FALSE
a425510b-d53e-4109-acaf-0322fd609269,A,training,T20,Human,,TRUE,8421,medium,TRUE,Human,TRUE,TRUE
a425510b-d53e-4109-acaf-0322fd609269,A,test,X01,AI,,FALSE,14268,easy,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X02,Human,,TRUE,5458,easy,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X03,AI,,TRUE,5379,medium,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X04,Human,,TRUE,11023,medium,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X05,AI,,FALSE,14654,medium,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X06,Human,,FALSE,7273,medium,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X07,Human,,FALSE,5237,medium,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X08,AI,,FALSE,11642,hard,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X09,Human,,TRUE,5742,easy,FALSE,,,
a425510b-d53e-4109-acaf-0322fd609269,A,test,X10,AI,,TRUE,8575,hard,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T01,AI,,TRUE,6475,medium,TRUE,AI,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T02,Human,,TRUE,2463,easy,TRUE,Human,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T03,AI,,FALSE,6425,medium,FALSE,AI,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T04,Human,,TRUE,1532,easy,TRUE,Human,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T05,AI,,TRUE,1250,medium,TRUE,AI,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T06,Human,,TRUE,13045,easy,FALSE,AI,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T07,AI,,TRUE,2927,medium,TRUE,AI,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T08,Human,,TRUE,2359,medium,TRUE,Human,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T09,AI,,TRUE,5919,medium,FALSE,AI,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T10,Human,,TRUE,2174,medium,TRUE,Human,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T11,AI,,TRUE,3125,medium,TRUE,AI,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T12,Human,,TRUE,7510,medium,FALSE,AI,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T13,AI,,FALSE,2297,medium,TRUE,Human,FALSE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T14,Human,,FALSE,1416,medium,TRUE,AI,FALSE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T15,Human,,FALSE,3277,easy,FALSE,Human,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T16,AI,,FALSE,1278,medium,TRUE,Human,FALSE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T17,AI,,FALSE,1863,easy,TRUE,AI,TRUE,FALSE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T18,Human,,TRUE,5944,medium,FALSE,Human,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T19,AI,,TRUE,2347,easy,TRUE,AI,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,training,T20,Human,,TRUE,1683,medium,TRUE,Human,TRUE,TRUE
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X01,AI,,FALSE,5453,easy,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X02,Human,,TRUE,3053,easy,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X03,AI,,FALSE,4863,medium,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X04,Human,,FALSE,7338,medium,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X05,AI,,FALSE,5610,medium,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X06,Human,,FALSE,8108,medium,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X07,Human,,FALSE,4381,medium,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X08,AI,,FALSE,3347,hard,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X09,Human,,TRUE,6085,easy,FALSE,,,
ce2e3b62-d302-4148-b829-c4e35eca9e54,B,test,X10,AI,,FALSE,3890,hard,FALSE,,,
7780f692-939c-4e1f-9887-915a56076880,B,training,T01,AI,,TRUE,5298,medium,TRUE,AI,TRUE,TRUE
7780f692-939c-4e1f-9887-915a56076880,B,training,T02,Human,,FALSE,1017,easy,TRUE,Human,TRUE,FALSE
