reviewer_id,week,arm,n_ai_shown,deferred_rate,committed_rate
C001,23,blind_first,25,0.8,0.19999999999999996
C001,24,blind_first,25,0.92,0.07999999999999996
C002,1,withheld_ai,22,0.5909090909090909,0.40909090909090906
C002,2,withheld_ai,19,0.5263157894736842,0.4736842105263158
C002,3,withheld_ai,21,0.5238095238095238,0.47619047619047616
C002,4,withheld_ai,20,0.5,0.5
C002,5,withheld_ai,19,0.5789473684210527,0.42105263157894735
C002,6,withheld_ai,18,0.5555555555555556,0.4444444444444444
C002,7,withheld_ai,20,0.55,0.44999999999999996
C002,8,withheld_ai,21,0.5714285714285714,0.4285714285714286
C002,9,withheld_ai,21,0.7142857142857143,0.2857142857142857
C002,10,withheld_ai,21,0.42857142857142855,0.5714285714285714
C002,11,withheld_ai,19,0.8947368421052632,0.10526315789473684
C002,12,withheld_ai,20,0.75,0.25
C002,13,withheld_ai,22,0.45454545454545453,0.5454545454545454
C002,14,withheld_ai,22,0.7727272727272727,0.2272727272727273
C002,15,withheld_ai,22,0.5454545454545454,0.4545454545454546
C002,16,withheld_ai,22,0.8181818181818182,0.18181818181818177
C002,17,withheld_ai,19,0.7368421052631579,0.26315789473684215
C002,18,withheld_ai,23,0.6086956521739131,0.3913043478260869
C002,19,withheld_ai,20,0.65,0.35
C002,20,withheld_ai,20,0.6,0.4
C002,21,withheld_ai,20,0.8,0.19999999999999996
C002,22,withheld_ai,19,0.631578947368421,0.368421052631579
C002,23,withheld_ai,23,0.782608695652174,0.21739130434782605
C002,24,withheld_ai,19,0.8421052631578947,0.1578947368421053
C003,1,disagreement_prompt,22,0.6363636363636364,0.36363636363636365
C003,2,disagreement_prompt,23,0.8695652173913043,0.13043478260869568
C003,3,disagreement_prompt,24,0.875,0.125
C003,4,disagreement_prompt,23,0.8695652173913043,0.13043478260869568
C003,5,disagreement_prompt,25,0.88,0.12
C003,6,disagreement_prompt,23,0.8260869565217391,0.17391304347826086
C003,7,disagreement_prompt,24,0.8333333333333334,0.16666666666666663
C003,8,disagreement_prompt,24,0.9583333333333334,0.04166666666666663
C003,9,disagreement_prompt,24,0.875,0.125
C003,10,disagreement_prompt,25,0.96,0.040000000000000036
C003,11,disagreement_prompt,24,0.9166666666666666,0.08333333333333337
C003,12,disagreement_prompt,22,1.0,0.0
C003,13,disagreement_prompt,25,1.0,0.0
C003,14,disagreement_prompt,24,1.0,0.0
C003,15,disagreement_prompt,23,0.9130434782608695,0.08695652173913049
C003,16,disagreement_prompt,21,1.0,0.0
C003,17,disagreement_prompt,22,1.0,0.0
C003,18,disagreement_prompt,24,0.9583333333333334,0.04166666666666663
C003,19,disagreement_prompt,20,0.95,0.050000000000000044
C003,20,disagreement_prompt,21,1.0,0.0
C003,21,disagreement_prompt,22,0.9090909090909091,0.09090909090909094
C003,22,disagreement_prompt,25,0.92,0.07999999999999996
C003,23,disagreement_prompt,22,0.9545454545454546,0.045454545454545414
C003,24,disagreement_prompt,23,0.8695652173913043,0.13043478260869568
C004,1,control_always_ai,25,0.76,0.24
C004,2,control_always_ai,23,0.782608695652174,0.21739130434782605
C004,3,control_always_ai,25,0.8,0.19999999999999996
C004,4,control_always_ai,25,0.88,0.12
C004,5,control_always_ai,24,0.875,0.125
C004,6,control_always_ai,23,0.9565217391304348,0.04347826086956519
C004,7,control_always_ai,23,0.8260869565217391,0.17391304347826086
C004,8,control_always_ai,21,0.9523809523809523,0.04761904761904767
C004,9,control_always_ai,23,0.782608695652174,0.21739130434782605
C004,10,control_always_ai,22,0.9545454545454546,0.045454545454545414
C004,11,control_always_ai,25,0.96,0.040000000000000036
C004,12,control_always_ai,20,0.95,0.050000000000000044
C004,13,control_always_ai,21,0.8095238095238095,0.19047619047619047
C004,14,control_always_ai,23,1.0,0.0
C004,15,control_always_ai,23,0.9130434782608695,0.08695652173913049
C004,16,control_always_ai,21,0.9523809523809523,0.04761904761904767
C004,17,control_always_ai,25,1.0,0.0
C004,18,control_always_ai,23,0.9565217391304348,0.04347826086956519
C004,19,control_always_ai,24,0.875,0.125
C004,20,control_always_ai,20,0.95,0.050000000000000044
C004,21,control_always_ai,25,0.96,0.040000000000000036
C004,22,control_always_ai,24,0.9583333333333334,0.04166666666666663
C004,23,control_always_ai,22,0.8636363636363636,0.13636363636363635
C004,24,control_always_ai,25,0.92,0.07999999999999996
C005,1,blind_first,24,0.5416666666666666,0.45833333333333337
C005,2,blind_first,24,0.4166666666666667,0.5833333333333333
C005,3,blind_first,25,0.56,0.43999999999999995
C005,4,blind_first,22,0.3181818181818182,0.6818181818181819
C005,5,blind_first,22,0.7272727272727273,0.2727272727272727
C005,6,blind_first,24,0.375,0.625
C005,7,blind_first,21,0.47619047619047616,0.5238095238095238
C005,8,blind_first,23,0.5652173913043478,0.4347826086956522
C005,9,blind_first,23,0.6956521739130435,0.30434782608695654
C005,10,blind_first,24,0.7083333333333334,0.29166666666666663
C005,11,blind_first,25,0.48,0.52
C005,12,blind_first,24,0.625,0.375
C005,13,blind_first,19,0.5789473684210527,0.42105263157894735
C005,14,blind_first,23,0.6086956521739131,0.3913043478260869
C005,15,blind_first,24,0.5,0.5
C005,16,blind_first,22,0.45454545454545453,0.5454545454545454
C005,17,blind_first,24,0.5833333333333334,0.41666666666666663
C005,18,blind_first,25,0.6,0.4
C005,19,blind_first,23,0.6086956521739131,0.3913043478260869
C005,20,blind_first,23,0.4782608695652174,0.5217391304347826
C005,21,blind_first,20,0.65,0.35
C005,22,blind_first,22,0.6818181818181818,0.31818181818181823
C005,23,blind_first,24,0.5,0.5
C005,24,blind_first,24,0.5416666666666666,0.45833333333333337
C006,1,withheld_ai,21,0.09523809523809523,0.9047619047619048
C006,2,withheld_ai,22,0.045454545454545456,0.9545454545454546
C006,3,withheld_ai,20,0.05,0.95
C006,4,withheld_ai,19,0.05263157894736842,0.9473684210526316
C006,5,withheld_ai,23,0.17391304347826086,0.8260869565217391
C006,6,withheld_ai,19,0.21052631578947367,0.7894736842105263
C006,7,withheld_ai,23,0.08695652173913043,0.9130434782608696
C006,8,withheld_ai,20,0.1,0.9
C006,9,withheld_ai,22,0.09090909090909091,0.9090909090909091
C006,10,withheld_ai,20,0.2,0.8
C006,11,withheld_ai,21,0.19047619047619047,0.8095238095238095
C006,12,withheld_ai,19,0.10526315789473684,0.8947368421052632
C006,13,withheld_ai,22,0.22727272727272727,0.7727272727272727
C006,14,withheld_ai,19,0.10526315789473684,0.8947368421052632
C006,15,withheld_ai,22,0.18181818181818182,0.8181818181818181
C006,16,withheld_ai,21,0.19047619047619047,0.8095238095238095
C006,17,withheld_ai,25,0.16,0.84
C006,18,withheld_ai,22,0.18181818181818182,0.8181818181818181
C006,19,withheld_ai,21,0.14285714285714285,0.8571428571428572
C006,20,withheld_ai,21,0.23809523809523808,0.7619047619047619
C006,21,withheld_ai,21,0.14285714285714285,0.8571428571428572
C006,22,withheld_ai,19,0.2631578947368421,0.736842105263158
C006,23,withheld_ai,24,0.2916666666666667,0.7083333333333333
C006,24,withheld_ai,23,0.17391304347826086,0.8260869565217391
C007,1,disagreement_prompt,25,0.48,0.52
C007,2,disagreement_prompt,22,0.45454545454545453,0.5454545454545454
C007,3,disagreement_prompt,24,0.625,0.375
C007,4,disagreement_prompt,23,0.4782608695652174,0.5217391304347826
C007,5,disagreement_prompt,23,0.391304347826087,0.6086956521739131
C007,6,disagreement_prompt,25,0.56,0.43999999999999995
C007,7,disagreement_prompt,23,0.43478260869565216,0.5652173913043479
C007,8,disagreement_prompt,25,0.68,0.31999999999999995
C007,9,disagreement_prompt,24,0.5416666666666666,0.45833333333333337
C007,10,disagreement_prompt,25,0.32,0.6799999999999999
C007,11,disagreement_prompt,22,0.5454545454545454,0.4545454545454546
C007,12,disagreement_prompt,25,0.6,0.4
C007,13,disagreement_prompt,22,0.5454545454545454,0.4545454545454546
C007,14,disagreement_prompt,25,0.56,0.43999999999999995
C007,15,disagreement_prompt,22,0.5909090909090909,0.40909090909090906
C007,16,disagreement_prompt,23,0.5217391304347826,0.4782608695652174
C007,17,disagreement_prompt,25,0.76,0.24
C007,18,disagreement_prompt,24,0.7083333333333334,0.29166666666666663
C007,19,disagreement_prompt,24,0.5,0.5
C007,20,disagreement_prompt,23,0.782608695652174,0.21739130434782605
C007,21,disagreement_prompt,25,0.8,0.19999999999999996
C007,22,disagreement_prompt,22,0.8181818181818182,0.18181818181818177
C007,23,disagreement_prompt,25,0.88,0.12
C007,24,disagreement_prompt,23,0.7391304347826086,0.26086956521739135
C008,1,control_always_ai,23,0.782608695652174,0.21739130434782605
C008,2,control_always_ai,23,0.6086956521739131,0.3913043478260869
C008,3,control_always_ai,24,0.5833333333333334,0.41666666666666663
C008,4,control_always_ai,25,0.76,0.24
C008,5,control_always_ai,24,0.75,0.25
C008,6,control_always_ai,23,0.8695652173913043,0.13043478260869568
C008,7,control_always_ai,25,0.68,0.31999999999999995
C008,8,control_always_ai,25,0.64,0.36
C008,9,control_always_ai,23,0.6086956521739131,0.3913043478260869
C008,10,control_always_ai,24,0.75,0.25
C008,11,control_always_ai,25,0.72,0.28
C008,12,control_always_ai,23,0.9130434782608695,0.08695652173913049
C008,13,control_always_ai,22,0.8181818181818182,0.18181818181818177
C008,14,control_always_ai,24,0.8333333333333334,0.16666666666666663
C008,15,control_always_ai,24,0.875,0.125
C008,16,control_always_ai,23,0.8695652173913043,0.13043478260869568
C008,17,control_always_ai,23,0.9130434782608695,0.08695652173913049
C008,18,control_always_ai,24,0.9166666666666666,0.08333333333333337
C008,19,control_always_ai,25,0.92,0.07999999999999996
C008,20,control_always_ai,21,0.9047619047619048,0.09523809523809523
C008,21,control_always_ai,22,0.8636363636363636,0.13636363636363635
C008,22,control_always_ai,23,0.9565217391304348,0.04347826086956519
C008,23,control_always_ai,24,0.9166666666666666,0.08333333333333337
C008,24,control_always_ai,21,0.9523809523809523,0.04761904761904767
C009,1,blind_first,21,0.38095238095238093,0.6190476190476191
C009,2,blind_first,23,0.30434782608695654,0.6956521739130435
C009,3,blind_first,21,0.38095238095238093,0.6190476190476191
C009,4,blind_first,21,0.42857142857142855,0.5714285714285714
C009,5,blind_first,23,0.43478260869565216,0.5652173913043479
C009,6,blind_first,25,0.44,0.56
C009,7,blind_first,22,0.2727272727272727,0.7272727272727273
C009,8,blind_first,22,0.4090909090909091,0.5909090909090908
C009,9,blind_first,23,0.5217391304347826,0.4782608695652174
C009,10,blind_first,23,0.30434782608695654,0.6956521739130435
C009,11,blind_first,23,0.17391304347826086,0.8260869565217391
C009,12,blind_first,24,0.5,0.5
C009,13,blind_first,24,0.375,0.625
C009,14,blind_first,24,0.5,0.5
C009,15,blind_first,24,0.625,0.375
C009,16,blind_first,23,0.5217391304347826,0.4782608695652174
C009,17,blind_first,24,0.2916666666666667,0.7083333333333333
C009,18,blind_first,23,0.34782608695652173,0.6521739130434783
C009,19,blind_first,23,0.5217391304347826,0.4782608695652174
C009,20,blind_first,23,0.5652173913043478,0.4347826086956522
C009,21,blind_first,18,0.4444444444444444,0.5555555555555556
C009,22,blind_first,24,0.375,0.625
C009,23,blind_first,21,0.5238095238095238,0.47619047619047616
C009,24,blind_first,23,0.6521739130434783,0.34782608695652173
C010,1,withheld_ai,21,0.9523809523809523,0.04761904761904767
C010,2,withheld_ai,21,0.9047619047619048,0.09523809523809523
C010,3,withheld_ai,21,0.8571428571428571,0.1428571428571429
C010,4,withheld_ai,18,0.9444444444444444,0.05555555555555558
C010,5,withheld_ai,24,0.9166666666666666,0.08333333333333337
C010,6,withheld_ai,21,1.0,0.0
C010,7,withheld_ai,20,0.95,0.050000000000000044
C010,8,withheld_ai,21,0.8571428571428571,0.1428571428571429
C010,9,withheld_ai,19,0.8947368421052632,0.10526315789473684
C010,10,withheld_ai,19,0.9473684210526315,0.052631578947368474
C010,11,withheld_ai,16,1.0,0.0
C010,12,withheld_ai,22,0.8636363636363636,0.13636363636363635
C010,13,withheld_ai,19,1.0,0.0
C010,14,withheld_ai,22,0.9090909090909091,0.09090909090909094
C010,15,withheld_ai,22,0.9090909090909091,0.09090909090909094
C010,16,withheld_ai,22,1.0,0.0
C010,17,withheld_ai,22,0.9545454545454546,0.045454545454545414
C010,18,withheld_ai,20,1.0,0.0
C010,19,withheld_ai,23,0.9130434782608695,0.08695652173913049
C010,20,withheld_ai,21,1.0,0.0
C010,21,withheld_ai,20,1.0,0.0
C010,22,withheld_ai,17,1.0,0.0
C010,23,withheld_ai,20,1.0,0.0
C010,24,withheld_ai,24,0.75,0.25
C011,1,disagreement_prompt,24,0.5,0.5
C011,2,disagreement_prompt,24,0.3333333333333333,0.6666666666666667
C011,3,disagreement_prompt,24,0.4583333333333333,0.5416666666666667
C011,4,disagreement_prompt,23,0.391304347826087,0.6086956521739131
C011,5,disagreement_prompt,24,0.5,0.5
C011,6,disagreement_prompt,23,0.4782608695652174,0.5217391304347826
C011,7,disagreement_prompt,24,0.5833333333333334,0.41666666666666663
C011,8,disagreement_prompt,23,0.6086956521739131,0.3913043478260869
C011,9,disagreement_prompt,24,0.7083333333333334,0.29166666666666663
C011,10,disagreement_prompt,22,0.6818181818181818,0.31818181818181823
C011,11,disagreement_prompt,20,0.6,0.4
C011,12,disagreement_prompt,23,0.6086956521739131,0.3913043478260869
C011,13,disagreement_prompt,24,0.5,0.5
C011,14,disagreement_prompt,24,0.7083333333333334,0.29166666666666663
C011,15,disagreement_prompt,23,0.7391304347826086,0.26086956521739135
C011,16,disagreement_prompt,25,0.72,0.28
C011,17,disagreement_prompt,23,0.6521739130434783,0.34782608695652173
C011,18,disagreement_prompt,25,0.72,0.28
C011,19,disagreement_prompt,21,0.6190476190476191,0.38095238095238093
C011,20,disagreement_prompt,23,0.6521739130434783,0.34782608695652173
C011,21,disagreement_prompt,25,0.76,0.24
C011,22,disagreement_prompt,23,0.782608695652174,0.21739130434782605
C011,23,disagreement_prompt,24,0.75,0.25
C011,24,disagreement_prompt,24,0.75,0.25
C012,1,control_always_ai,23,0.391304347826087,0.6086956521739131
C012,2,control_always_ai,24,0.25,0.75
C012,3,control_always_ai,24,0.4583333333333333,0.5416666666666667
C012,4,control_always_ai,24,0.4166666666666667,0.5833333333333333
C012,5,control_always_ai,25,0.64,0.36
C012,6,control_always_ai,22,0.5909090909090909,0.40909090909090906
C012,7,control_always_ai,24,0.625,0.375
C012,8,control_always_ai,24,0.5416666666666666,0.45833333333333337
C012,9,control_always_ai,24,0.5,0.5
C012,10,control_always_ai,25,0.56,0.43999999999999995
C012,11,control_always_ai,25,0.56,0.43999999999999995
C012,12,control_always_ai,24,0.6666666666666666,0.33333333333333337
C012,13,control_always_ai,23,0.7391304347826086,0.26086956521739135
C012,14,control_always_ai,24,0.75,0.25
C012,15,control_always_ai,23,0.8260869565217391,0.17391304347826086
C012,16,control_always_ai,25,0.64,0.36
C012,17,control_always_ai,22,0.5454545454545454,0.4545454545454546
C012,18,control_always_ai,25,0.6,0.4
C012,19,control_always_ai,20,0.65,0.35
C012,20,control_always_ai,20,0.65,0.35
C012,21,control_always_ai,24,0.5833333333333334,0.41666666666666663
C012,22,control_always_ai,24,0.6666666666666666,0.33333333333333337
C012,23,control_always_ai,25,0.68,0.31999999999999995
C012,24,control_always_ai,24,0.875,0.125
C013,1,blind_first,23,0.6086956521739131,0.3913043478260869
C013,2,blind_first,24,0.7083333333333334,0.29166666666666663
C013,3,blind_first,22,0.7727272727272727,0.2272727272727273
C013,4,blind_first,24,0.7083333333333334,0.29166666666666663
C013,5,blind_first,24,0.7916666666666666,0.20833333333333337
C013,6,blind_first,24,0.8333333333333334,0.16666666666666663
C013,7,blind_first,23,0.9130434782608695,0.08695652173913049
C013,8,blind_first,25,0.68,0.31999999999999995
C013,9,blind_first,25,0.92,0.07999999999999996
C013,10,blind_first,25,0.96,0.040000000000000036
C013,11,blind_first,24,0.9583333333333334,0.04166666666666663
C013,12,blind_first,24,0.875,0.125
C013,13,blind_first,24,0.875,0.125
C013,14,blind_first,25,1.0,0.0
C013,15,blind_first,23,0.8695652173913043,0.13043478260869568
C013,16,blind_first,24,0.9166666666666666,0.08333333333333337
C013,17,blind_first,25,1.0,0.0
C013,18,blind_first,25,1.0,0.0
C013,19,blind_first,22,0.7272727272727273,0.2727272727272727
C013,20,blind_first,25,0.96,0.040000000000000036
C013,21,blind_first,24,0.9166666666666666,0.08333333333333337
C013,22,blind_first,24,0.875,0.125
C013,23,blind_first,22,0.9090909090909091,0.09090909090909094
C013,24,blind_first,25,1.0,0.0
C014,1,withheld_ai,19,0.21052631578947367,0.7894736842105263
C014,2,withheld_ai,24,0.375,0.625
C014,3,withheld_ai,25,0.32,0.6799999999999999
C014,4,withheld_ai,22,0.22727272727272727,0.7727272727272727
C014,5,withheld_ai,22,0.13636363636363635,0.8636363636363636
C014,6,withheld_ai,21,0.23809523809523808,0.7619047619047619
C014,7,withheld_ai,19,0.05263157894736842,0.9473684210526316
C014,8,withheld_ai,22,0.13636363636363635,0.8636363636363636
C014,9,withheld_ai,22,0.18181818181818182,0.8181818181818181
C014,10,withheld_ai,21,0.23809523809523808,0.7619047619047619
C014,11,withheld_ai,21,0.19047619047619047,0.8095238095238095
C014,12,withheld_ai,20,0.25,0.75
C014,13,withheld_ai,21,0.23809523809523808,0.7619047619047619
C014,14,withheld_ai,20,0.55,0.44999999999999996
C014,15,withheld_ai,21,0.47619047619047616,0.5238095238095238
C014,16,withheld_ai,21,0.09523809523809523,0.9047619047619048
C014,17,withheld_ai,20,0.35,0.65
C014,18,withheld_ai,21,0.23809523809523808,0.7619047619047619
C014,19,withheld_ai,21,0.2857142857142857,0.7142857142857143
C014,20,withheld_ai,17,0.058823529411764705,0.9411764705882353
C014,21,withheld_ai,22,0.09090909090909091,0.9090909090909091
C014,22,withheld_ai,22,0.36363636363636365,0.6363636363636364
C014,23,withheld_ai,21,0.047619047619047616,0.9523809523809523
C014,24,withheld_ai,19,0.21052631578947367,0.7894736842105263
C015,1,disagreement_prompt,24,0.125,0.875
C015,2,disagreement_prompt,22,0.0,1.0
C015,3,disagreement_prompt,25,0.08,0.92
C015,4,disagreement_prompt,24,0.125,0.875
C015,5,disagreement_prompt,23,0.13043478260869565,0.8695652173913043
C015,6,disagreement_prompt,22,0.13636363636363635,0.8636363636363636
C015,7,disagreement_prompt,21,0.14285714285714285,0.8571428571428572
C015,8,disagreement_prompt,21,0.047619047619047616,0.9523809523809523
C015,9,disagreement_prompt,22,0.09090909090909091,0.9090909090909091
C015,10,disagreement_prompt,23,0.17391304347826086,0.8260869565217391
C015,11,disagreement_prompt,24,0.125,0.875
C015,12,disagreement_prompt,23,0.17391304347826086,0.8260869565217391
C015,13,disagreement_prompt,22,0.13636363636363635,0.8636363636363636
C015,14,disagreement_prompt,24,0.0,1.0
C015,15,disagreement_prompt,25,0.04,0.96
C015,16,disagreement_prompt,23,0.17391304347826086,0.8260869565217391
C015,17,disagreement_prompt,23,0.08695652173913043,0.9130434782608696
C015,18,disagreement_prompt,25,0.04,0.96
C015,19,disagreement_prompt,24,0.125,0.875
C015,20,disagreement_prompt,24,0.08333333333333333,0.9166666666666666
C015,21,disagreement_prompt,22,0.09090909090909091,0.9090909090909091
C015,22,disagreement_prompt,22,0.18181818181818182,0.8181818181818181
C015,23,disagreement_prompt,25,0.12,0.88
C015,24,disagreement_prompt,22,0.18181818181818182,0.8181818181818181
R000,1,control_always_ai,24,0.3333333333333333,0.6666666666666667
R000,2,control_always_ai,25,0.64,0.36
R000,3,control_always_ai,25,0.52,0.48
R000,4,control_always_ai,24,0.7083333333333334,0.29166666666666663
R000,5,control_always_ai,23,0.5217391304347826,0.4782608695652174
R000,6,control_always_ai,25,0.64,0.36
R000,7,control_always_ai,23,0.5652173913043478,0.4347826086956522
R000,8,control_always_ai,24,0.6666666666666666,0.33333333333333337
R000,9,control_always_ai,24,0.5833333333333334,0.41666666666666663
R000,10,control_always_ai,25,0.68,0.31999999999999995
R000,11,control_always_ai,25,0.52,0.48
R000,12,control_always_ai,25,0.56,0.43999999999999995
R000,13,control_always_ai,24,0.5416666666666666,0.45833333333333337
R000,14,control_always_ai,24,0.6666666666666666,0.33333333333333337
R000,15,control_always_ai,24,0.6666666666666666,0.33333333333333337
R000,16,control_always_ai,25,0.76,0.24
R000,17,control_always_ai,24,0.7916666666666666,0.20833333333333337
R000,18,control_always_ai,24,0.9583333333333334,0.04166666666666663
R000,19,control_always_ai,24,0.7083333333333334,0.29166666666666663
R000,20,control_always_ai,25,0.72,0.28
R000,21,control_always_ai,23,0.782608695652174,0.21739130434782605
R000,22,control_always_ai,24,0.875,0.125
R000,23,control_always_ai,24,0.9166666666666666,0.08333333333333337
R000,24,control_always_ai,24,0.9166666666666666,0.08333333333333337
R001,1,blind_first,25,0.36,0.64
R001,2,blind_first,23,0.2608695652173913,0.7391304347826086
R001,3,blind_first,25,0.24,0.76
R001,4,blind_first,25,0.2,0.8
R001,5,blind_first,23,0.34782608695652173,0.6521739130434783
R001,6,blind_first,22,0.3181818181818182,0.6818181818181819
R001,7,blind_first,25,0.36,0.64
R001,8,blind_first,22,0.5,0.5
R001,9,blind_first,23,0.391304347826087,0.6086956521739131
R001,10,blind_first,20,0.55,0.44999999999999996
R001,11,blind_first,23,0.43478260869565216,0.5652173913043479
R001,12,blind_first,25,0.28,0.72
R001,13,blind_first,24,0.2916666666666667,0.7083333333333333
R001,14,blind_first,22,0.3181818181818182,0.6818181818181819
R001,15,blind_first,23,0.4782608695652174,0.5217391304347826
R001,16,blind_first,24,0.4583333333333333,0.5416666666666667
R001,17,blind_first,25,0.4,0.6
R001,18,blind_first,24,0.4583333333333333,0.5416666666666667
R001,19,blind_first,24,0.5416666666666666,0.45833333333333337
R001,20,blind_first,24,0.5416666666666666,0.45833333333333337
R001,21,blind_first,24,0.4583333333333333,0.5416666666666667
R001,22,blind_first,23,0.5652173913043478,0.4347826086956522
R001,23,blind_first,25,0.48,0.52
R001,24,blind_first,21,0.5714285714285714,0.4285714285714286
R002,1,withheld_ai,22,1.0,0.0
R002,2,withheld_ai,20,0.95,0.050000000000000044
R002,3,withheld_ai,22,0.9090909090909091,0.09090909090909094
R002,4,withheld_ai,21,0.9523809523809523,0.04761904761904767
R002,5,withheld_ai,21,0.9523809523809523,0.04761904761904767
R002,6,withheld_ai,21,1.0,0.0
R002,7,withheld_ai,22,0.9545454545454546,0.045454545454545414
R002,8,withheld_ai,20,0.95,0.050000000000000044
R002,9,withheld_ai,20,1.0,0.0
R002,10,withheld_ai,22,0.9090909090909091,0.09090909090909094
R002,11,withheld_ai,20,0.95,0.050000000000000044
R002,12,withheld_ai,22,0.9545454545454546,0.045454545454545414
R002,13,withheld_ai,21,0.8571428571428571,0.1428571428571429
R002,14,withheld_ai,22,0.8636363636363636,0.13636363636363635
R002,15,withheld_ai,20,0.9,0.09999999999999998
R002,16,withheld_ai,18,0.9444444444444444,0.05555555555555558
R002,17,withheld_ai,23,0.9565217391304348,0.04347826086956519
R002,18,withheld_ai,20,0.9,0.09999999999999998
R002,19,withheld_ai,19,0.8421052631578947,0.1578947368421053
R002,20,withheld_ai,21,0.8571428571428571,0.1428571428571429
R002,21,withheld_ai,19,0.7894736842105263,0.21052631578947367
R002,22,withheld_ai,20,0.95,0.050000000000000044
R002,23,withheld_ai,20,0.95,0.050000000000000044
R002,24,withheld_ai,22,0.9090909090909091,0.09090909090909094
R003,1,disagreement_prompt,23,0.391304347826087,0.6086956521739131
R003,2,disagreement_prompt,24,0.5,0.5
R003,3,disagreement_prompt,23,0.21739130434782608,0.782608695652174
R003,4,disagreement_prompt,25,0.36,0.64
R003,5,disagreement_prompt,24,0.5,0.5
R003,6,disagreement_prompt,23,0.5217391304347826,0.4782608695652174
R003,7,disagreement_prompt,22,0.5454545454545454,0.4545454545454546
R003,8,disagreement_prompt,21,0.47619047619047616,0.5238095238095238
R003,9,disagreement_prompt,24,0.625,0.375
R003,10,disagreement_prompt,25,0.64,0.36
R003,11,disagreement_prompt,22,0.5454545454545454,0.4545454545454546
R003,12,disagreement_prompt,22,0.5,0.5
R003,13,disagreement_prompt,22,0.45454545454545453,0.5454545454545454
R003,14,disagreement_prompt,23,0.5217391304347826,0.4782608695652174
R003,15,disagreement_prompt,23,0.5652173913043478,0.4347826086956522
R003,16,disagreement_prompt,23,0.4782608695652174,0.5217391304347826
R003,17,disagreement_prompt,25,0.36,0.64
R003,18,disagreement_prompt,23,0.6086956521739131,0.3913043478260869
R003,19,disagreement_prompt,23,0.6521739130434783,0.34782608695652173
R003,20,disagreement_prompt,23,0.782608695652174,0.21739130434782605
R003,21,disagreement_prompt,25,0.64,0.36
R003,22,disagreement_prompt,20,0.8,0.19999999999999996
R003,23,disagreement_prompt,22,0.5909090909090909,0.40909090909090906
R003,24,disagreement_prompt,24,0.7083333333333334,0.29166666666666663
R004,1,control_always_ai,23,0.6956521739130435,0.30434782608695654
R004,2,control_always_ai,25,0.68,0.31999999999999995
R004,3,control_always_ai,24,0.4166666666666667,0.5833333333333333
R004,4,control_always_ai,22,0.6818181818181818,0.31818181818181823
R004,5,control_always_ai,24,0.4583333333333333,0.5416666666666667
